dataset,documents,k,min_shingles,threshold,hash_family,seed,num_hashes,num_bands,rows_per_band,ground_truth_pairs,lsh_candidate_pairs,total_possible_pairs,candidate_reduction,true_positives,false_positives,false_negatives,precision,recall,f1_score,ground_truth_time_seconds,lsh_time_seconds
reuters,2000,3,20,0.1,linear,42,100,50,2,380,2185,1999000,0.9989,281,1904,99,0.1286,0.7395,0.2191,14.4409,0.1409
reuters,2000,3,20,0.1,linear,42,100,25,4,380,80,1999000,1.0,76,4,304,0.95,0.2,0.3304,14.4409,0.0511
reuters,2000,3,20,0.1,linear,42,100,10,10,380,25,1999000,1.0,25,0,355,1.0,0.0658,0.1235,14.4409,0.0201
reuters,2000,3,20,0.1,linear,42,100,20,5,380,52,1999000,1.0,51,1,329,0.9808,0.1342,0.2361,14.4409,0.0383
reuters,2000,3,20,0.1,linear,42,200,50,4,380,92,1999000,1.0,87,5,293,0.9457,0.2289,0.3686,14.4409,0.0899
reuters,2000,3,20,0.1,linear,42,200,100,2,380,5521,1999000,0.9972,347,5174,33,0.0629,0.9132,0.1176,14.4409,0.2351
reuters,2000,3,20,0.1,murmur,42,100,50,2,380,1132,1999000,0.9994,281,851,99,0.2482,0.7395,0.3717,14.4409,0.0892
reuters,2000,3,20,0.1,murmur,42,100,25,4,380,78,1999000,1.0,78,0,302,1.0,0.2053,0.3406,14.4409,0.0477
reuters,2000,3,20,0.1,murmur,42,100,10,10,380,28,1999000,1.0,28,0,352,1.0,0.0737,0.1373,14.4409,0.0189
reuters,2000,3,20,0.1,murmur,42,100,20,5,380,56,1999000,1.0,56,0,324,1.0,0.1474,0.2569,14.4409,0.0378
reuters,2000,3,20,0.1,murmur,42,200,50,4,380,92,1999000,1.0,91,1,289,0.9891,0.2395,0.3856,14.4409,0.0898
reuters,2000,3,20,0.1,murmur,42,200,100,2,380,2137,1999000,0.9989,329,1808,51,0.154,0.8658,0.2614,14.4409,0.2289
reuters,2000,3,20,0.1,tabulation,42,100,50,2,380,1665,1999000,0.9992,298,1367,82,0.179,0.7842,0.2914,14.4409,0.092
reuters,2000,3,20,0.1,tabulation,42,100,25,4,380,79,1999000,1.0,79,0,301,1.0,0.2079,0.3442,14.4409,0.0474
reuters,2000,3,20,0.1,tabulation,42,100,10,10,380,28,1999000,1.0,28,0,352,1.0,0.0737,0.1373,14.4409,0.0214
reuters,2000,3,20,0.1,tabulation,42,100,20,5,380,62,1999000,1.0,62,0,318,1.0,0.1632,0.2805,14.4409,0.039
reuters,2000,3,20,0.1,tabulation,42,200,50,4,380,98,1999000,1.0,98,0,282,1.0,0.2579,0.41,14.4409,0.0903
reuters,2000,3,20,0.1,tabulation,42,200,100,2,380,2687,1999000,0.9987,338,2349,42,0.1258,0.8895,0.2204,14.4409,0.1827
reuters,2000,5,20,0.1,linear,42,100,50,2,147,215,1999000,0.9999,118,97,29,0.5488,0.8027,0.6519,14.8192,0.1438
reuters,2000,5,20,0.1,linear,42,100,25,4,147,54,1999000,1.0,54,0,93,1.0,0.3673,0.5373,14.8192,0.0484
reuters,2000,5,20,0.1,linear,42,100,10,10,147,25,1999000,1.0,25,0,122,1.0,0.1701,0.2907,14.8192,0.0202
reuters,2000,5,20,0.1,linear,42,100,20,5,147,43,1999000,1.0,43,0,104,1.0,0.2925,0.4526,14.8192,0.0415
reuters,2000,5,20,0.1,linear,42,200,50,4,147,61,1999000,1.0,60,1,87,0.9836,0.4082,0.5769,14.8192,0.091
reuters,2000,5,20,0.1,linear,42,200,100,2,147,302,1999000,0.9998,130,172,17,0.4305,0.8844,0.5791,14.8192,0.2303
reuters,2000,5,20,0.1,murmur,42,100,50,2,147,210,1999000,0.9999,117,93,30,0.5571,0.7959,0.6555,14.8192,0.0924
reuters,2000,5,20,0.1,murmur,42,100,25,4,147,50,1999000,1.0,50,0,97,1.0,0.3401,0.5076,14.8192,0.0471
reuters,2000,5,20,0.1,murmur,42,100,10,10,147,29,1999000,1.0,29,0,118,1.0,0.1973,0.3295,14.8192,0.02
reuters,2000,5,20,0.1,murmur,42,100,20,5,147,44,1999000,1.0,44,0,103,1.0,0.2993,0.4607,14.8192,0.0384
reuters,2000,5,20,0.1,murmur,42,200,50,4,147,55,1999000,1.0,55,0,92,1.0,0.3741,0.5446,14.8192,0.093
reuters,2000,5,20,0.1,murmur,42,200,100,2,147,334,1999000,0.9998,138,196,9,0.4132,0.9388,0.5738,14.8192,0.1828
reuters,2000,5,20,0.1,tabulation,42,100,50,2,147,225,1999000,0.9999,121,104,26,0.5378,0.8231,0.6505,14.8192,0.1407
reuters,2000,5,20,0.1,tabulation,42,100,25,4,147,51,1999000,1.0,51,0,96,1.0,0.3469,0.5152,14.8192,0.0475
reuters,2000,5,20,0.1,tabulation,42,100,10,10,147,24,1999000,1.0,24,0,123,1.0,0.1633,0.2807,14.8192,0.0192
reuters,2000,5,20,0.1,tabulation,42,100,20,5,147,43,1999000,1.0,43,0,104,1.0,0.2925,0.4526,14.8192,0.038
reuters,2000,5,20,0.1,tabulation,42,200,50,4,147,56,1999000,1.0,56,0,91,1.0,0.381,0.5517,14.8192,0.0927
reuters,2000,5,20,0.1,tabulation,42,200,100,2,147,349,1999000,0.9998,136,213,11,0.3897,0.9252,0.5484,14.8192,0.2279
